Constituency_No,Constituency_Name,District,Winner_Candidate_2021,Winner_Party_2021,Winner_Votes_2021,Winner_Pct_2021,Margin_2021,Winner_Candidate_2026,Winner_Party_2026,Winner_Votes_2026,Winner_Pct_2026,Margin_2026,Seat_Status,Party_Change,Vote_Swing,Margin_Change,Minority_Pct,Women_Voter_Pct,Unemployment_Pct,SIR_Risk,Region
109,Khardaha,North 24 Parganas,Kajal Sinha,AITC,89807,49.04,28140,Kalyan Chakraborti,BJP,97752,49.75,24486,Flipped,AITC → BJP,0.71,-3654,25.82,92.5,4.75,High,Kolkata Metro
110,Dum Dum Uttar,North 24 Parganas,Chandrima Bhattacharya,AITC,95465,44.79,28499,Sourav Sikdar,BJP,103284,46.24,26404,Flipped,AITC → BJP,1.45,-2095,25.82,92.5,4.75,High,Kolkata Metro
111,Panihati,North 24 Parganas,Nirmal Ghosh,AITC,86495,49.61,25177,Ratna Debnath,BJP,87977,50.28,28836,Flipped,AITC → BJP,0.67,3659,25.82,92.5,4.75,High,Kolkata Metro
112,Kamarhati,North 24 Parganas,Madan Mitra,AITC,73845,51.17,35408,Madan Mitra,AITC,64817,43.71,5646,Retained,AITC → AITC,-7.46,-29762,25.82,92.5,4.75,High,Kolkata Metro
113,Baranagar,North 24 Parganas,Tapas Roy,AITC,85615,53.42,35147,Sajal Ghosh,BJP,81730,48.26,16956,Flipped,AITC → BJP,-5.16,-18191,25.82,92.5,4.75,High,Kolkata Metro
114,Dum Dum,North 24 Parganas,Bratya Basu,AITC,87999,47.48,26731,Arijit Bakshi,BJP,99181,50.07,25273,Flipped,AITC → BJP,2.59,-1458,25.82,92.5,4.75,High,Kolkata Metro
115,Rajarhat New Town,North 24 Parganas,Tapash Chatterjee,AITC,127374,54.22,56432,Piyush Kanodia,BJP,106564,42.19,316,Flipped,AITC → BJP,-12.03,-56116,25.82,92.5,4.75,High,Kolkata Metro
116,Bidhannagar,North 24 Parganas,Sujit Bose,AITC,75912,46.85,7997,Sharadwat Mukherjee,BJP,97979,55.2,37330,Flipped,AITC → BJP,8.35,29333,25.82,92.5,4.75,High,Kolkata Metro
117,Rajarhat Gopalpur,North 24 Parganas,Aditi Munshi,AITC,87650,49.04,25296,Tarunjyoti Tewari,BJP,101277,51.74,27757,Flipped,AITC → BJP,2.7,2461,25.82,92.5,4.75,High,Kolkata Metro
118,Madhyamgram,North 24 Parganas,Rathin Ghosh,AITC,112741,48.93,48126,Rathin Ghosh,AITC,95995,41.21,2399,Retained,AITC → AITC,-7.72,-45727,25.82,92.5,4.75,High,Kolkata Metro
119,Barasat,North 24 Parganas,Chiranjeet Chakrabarti,AITC,104431,46.27,23783,Sankar Chatterjee,BJP,122171,51.64,34558,Flipped,AITC → BJP,5.37,10775,25.82,92.5,4.75,High,Kolkata Metro
